date,series_id,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2010-01-01,AMTMVS,396215,NA,NA,NA,NA,NA,NA
2010-02-01,AMTMVS,394069,NA,NA,NA,NA,NA,NA
2010-03-01,AMTMVS,401764,NA,NA,NA,NA,NA,NA
2010-04-01,AMTMVS,405276,NA,NA,NA,NA,NA,NA
2010-05-01,AMTMVS,403798,NA,NA,NA,NA,NA,NA
2010-06-01,AMTMVS,404071,NA,NA,NA,NA,NA,NA
2010-07-01,AMTMVS,408072,NA,NA,NA,NA,NA,NA
2010-08-01,AMTMVS,409306,NA,NA,NA,NA,NA,NA
2010-09-01,AMTMVS,414874,NA,NA,NA,NA,NA,NA
2010-10-01,AMTMVS,419156,NA,NA,NA,NA,NA,NA
2010-11-01,AMTMVS,424048,NA,NA,NA,NA,NA,NA
2010-12-01,AMTMVS,433667,NA,NA,409526.3333333333,11576.451829887124,NA,2.0853251947494233
2011-01-01,AMTMVS,443095,NA,NA,413433,14272.274011332092,NA,2.0782953001356734
2011-02-01,AMTMVS,443044,NA,NA,417514.25,15203.598456376283,NA,1.679191283119754
2011-03-01,AMTMVS,457499,NA,NA,422158.8333333333,18177.127164920672,NA,1.9442107845770202
2011-04-01,AMTMVS,456866,NA,NA,426458,19845.427272708534,NA,1.5322421423406254
2011-05-01,AMTMVS,455288,NA,NA,430748.8333333333,20065.821487536887,NA,1.2229335680030964
2011-06-01,AMTMVS,458051,NA,NA,435247.1666666667,19586.38346975374,NA,1.1642697269022697
2011-07-01,AMTMVS,461077,NA,NA,439664.25,18864.236717445478,NA,1.135097609340201
2011-08-01,AMTMVS,461942,NA,NA,444050.5833333333,17210.59255468368,NA,1.0395584352961587
2011-09-01,AMTMVS,460608,NA,NA,447861.75,15096.130124969113,NA,0.8443389063610154
2011-10-01,AMTMVS,463876,NA,NA,451588.4166666667,12694.322921958843,NA,0.9679589379342206
2011-11-01,AMTMVS,467009,NA,NA,455168.5,9991.45115950267,NA,1.1850630915348803
2011-12-01,AMTMVS,468024,NA,NA,458031.5833333333,7992.624343825697,NA,1.2502047183520928
2012-01-01,AMTMVS,474909,NA,NA,460682.75,7863.054797596161,NA,1.809252302851705
2012-02-01,AMTMVS,474871,NA,NA,463335,6646.063181928217,NA,1.7357644193585697
2012-03-01,AMTMVS,478309,NA,NA,465069.1666666667,7627.375848437871,NA,1.7358307229667862
2012-04-01,AMTMVS,474477,NA,NA,466536.75,7599.732413052449,NA,1.044806523235307
2012-05-01,AMTMVS,474071,NA,NA,468102,6981.441085933737,NA,0.8549810743266729
2012-06-01,AMTMVS,467180,NA,NA,468862.75,6245.20406719501,NA,-0.2694467597686997
2012-07-01,AMTMVS,466928,NA,NA,469350.3333333333,5794.204131298061,NA,-0.41806144182059474
2012-08-01,AMTMVS,470127,NA,NA,470032.4166666667,5303.838857731999,NA,0.017832995283299232
2012-09-01,AMTMVS,473980,NA,NA,471146.75,4485.3366373105155,NA,0.6316694217401851
2012-10-01,AMTMVS,475666,NA,NA,472129.25,4014.4832368675934,NA,0.8809975758572709
2012-11-01,AMTMVS,479682,NA,NA,473185.3333333333,4207.354606861512,NA,1.5441214905137013
2012-12-01,AMTMVS,479410,NA,NA,474134.1666666667,4221.415721884034,NA,1.249778197864552
2013-01-01,AMTMVS,481938,NA,NA,474719.9166666667,4788.300789107729,NA,1.5074415019525873
2013-02-01,AMTMVS,491364,NA,NA,476094.3333333333,6785.951388156582,NA,2.2501880419179843
2013-03-01,AMTMVS,483070,NA,NA,476491.0833333333,7060.81857807041,NA,0.9317498522196248
2013-04-01,AMTMVS,478974,NA,NA,476865.8333333333,7063.541744033015,NA,0.29845745138373075
2013-05-01,AMTMVS,484192,NA,NA,477709.25,7299.783597352857,NA,0.8880742714552332
