date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,IEABC,-103034,NA,NA,NA,NA,NA,NA
2010-07-01,IEABC,-111736,NA,NA,NA,NA,NA,NA
2010-10-01,IEABC,-116619,NA,NA,NA,NA,NA,NA
2011-01-01,IEABC,-100621,NA,NA,NA,NA,NA,NA
2011-04-01,IEABC,-119236,NA,NA,NA,NA,NA,NA
2011-07-01,IEABC,-119435,NA,NA,NA,NA,NA,NA
2011-10-01,IEABC,-106860,NA,NA,NA,NA,NA,NA
2012-01-01,IEABC,-109771,NA,NA,-110914,7180.006446475419,NA,0.15919205762845595
2012-04-01,IEABC,-113912,NA,NA,-112273.75,6469.375013973806,NA,-0.2532315712818303
2012-07-01,IEABC,-110004,NA,NA,-112057.25,6518.734578121738,NA,0.314976775844064
2012-10-01,IEABC,-98866,NA,NA,-109838.125,7664.954485700299,NA,1.431466425595813
2013-01-01,IEABC,-95400,NA,NA,-109185.5,8712.531172315623,NA,1.5822611968154463
2013-04-01,IEABC,-90923,NA,NA,-105646.375,9736.9730253518,NA,1.5121100738047943
2013-07-01,IEABC,-89161,NA,NA,-101862.125,9492.384397693313,NA,1.3380331503522365
2013-10-01,IEABC,-85392,NA,NA,-99178.625,10819.390106094574,NA,1.2742515857926207
2014-01-01,IEABC,-74041,NA,NA,-94712.375,12980.959054790323,NA,1.5924381944931647
2014-04-01,IEABC,-90914,NA,NA,-91837.625,10414.451757568148,NA,0.08868685759947036
2014-07-01,IEABC,-87169,NA,NA,-88983.25,7424.138848570731,NA,0.24437177657975415
2014-10-01,IEABC,-89189,NA,NA,-87773.625,6284.821941732774,NA,-0.22520526645338343
2015-01-01,IEABC,-102784,NA,NA,-88696.625,7899.61335288,NA,-1.783299304751934
2015-04-01,IEABC,-99395,NA,NA,-89755.625,8761.55459032732,NA,-1.1001900291349878
2015-07-01,IEABC,-99475,NA,NA,-91044.875,9397.334111901859,NA,-0.8970762239179222
2015-10-01,IEABC,-109927,NA,NA,-94111.75,11132.340849332375,NA,-1.4206580820734094
2016-01-01,IEABC,-99657,NA,NA,-97313.75,7684.822235140789,NA,-0.3049192197686627
2016-04-01,IEABC,-104015,NA,NA,-98951.375,7520.361654250032,NA,-0.6733220066801389
2016-07-01,IEABC,-100481,NA,NA,-100615.375,5821.8197925072,NA,0.02308127094090809
2016-10-01,IEABC,-99562,NA,NA,-101912,3671.3711335140174,NA,0.6400878349094389
2017-01-01,IEABC,-92158,NA,NA,-100583.75,4994.55288289152,NA,1.6869878440694457
2017-04-01,IEABC,-85463,NA,NA,-98842.25,7344.3883874502635,NA,1.8216969602073083
2017-07-01,IEABC,-103940,NA,NA,-99400.375,7565.664354503178,NA,-0.6000299229899034
2017-10-01,IEABC,-85766,NA,NA,-96380.25,7585.625951194046,NA,1.3992582903892357
2018-01-01,IEABC,-92446,NA,NA,-95478.875,7569.048485915707,NA,0.4006943548642206
2018-04-01,IEABC,-96829,NA,NA,-94580.625,6798.487729687705,NA,-0.3307169313819268
2018-07-01,IEABC,-94724,NA,NA,-93861,6376.287522644237,NA,-0.1353452141132612
2018-10-01,IEABC,-118825,NA,NA,-96268.875,10881.939801307748,NA,-2.072803692342545
2019-01-01,IEABC,-128616,NA,NA,-100826.125,15548.106356333466,NA,-1.7873478842444304
2019-04-01,IEABC,-115086,NA,NA,-104529,14879.676638191533,NA,-0.7094912246213364
2019-07-01,IEABC,-117608,NA,NA,-106237.5,15571.012353546113,NA,-0.7302351152146189
2019-10-01,IEABC,-110052,NA,NA,-109273.25,13195.978031744586,NA,-0.05901419342519508
2020-01-01,IEABC,-99217,-101707.725,11860.795026726735,-110119.625,12137.17941977695,0.2099964626643902,0.8982832520572858
2020-04-01,IEABC,-98334,-101590.225,11870.5957046803,-110307.75,11911.309065038029,0.274310159406419,1.0052421555532671
2020-07-01,IEABC,-148055,-102498.2,13884.683014765329,-116974.125,16122.885947244591,-3.2810831872469635,-1.9277488597078203
2020-10-01,IEABC,-167051,-103759,17114.00296653187,-123002.375,24003.51595042157,-3.6982580944840193,-1.8350905380270501
2021-01-01,IEABC,-180058,-105744.925,20925.146960103364,-129432.625,31455.70146792606,-3.5513764917249073,-1.6094180907591706
2021-04-01,IEABC,-188912,-107486.825,24646.21147969649,-138660.875,36988.2485216106,-3.303760298700591,-1.3585700055692145
2021-07-01,IEABC,-209216,-109731.35,29393.241998930505,-150111.875,43198.400451331196,-3.384609632500553,-1.3682017015094978
2021-10-01,IEABC,-232529,-112873.075,35217.54555753133,-165421.5,48366.7899315813,-3.3976224948592813,-1.387470619715076
2022-01-01,IEABC,-227976,-115828.2,39633.09126720841,-181516.375,44453.97976378814,-2.829650587785181,-1.0451173381296592
2022-04-01,IEABC,-282559,-120044.375,47594.69308742875,-204544.5,42896.9570116243,-3.414553481865507,-1.8186488141538684
2022-07-01,IEABC,-255197,-123674.2,52129.85151164005,-217937.25,39316.89671575242,-2.5229843589834955,-0.9476777953604814
2022-10-01,IEABC,-225334,-126835.9,54373.52994761424,-225222.625,33512.07997951741,-1.8115082852795699,-0.0033234284493255098
2023-01-01,IEABC,-230044,-130202,56503.51033524491,-231470.875,28113.275493655,-1.7670052605160367,0.05075449142601819
2023-04-01,IEABC,-228060,-133630.425,58194.28224001159,-236364.375,22492.218660413586,-1.6226607042001588,0.369211020281238
2023-07-01,IEABC,-234899,-137273.875,59876.62750603774,-239574.75,19726.560410848546,-1.6304379365747652,0.23702814391446517
2023-10-01,IEABC,-220792,-140658.875,60690.139778786055,-238107.625,20736.061610754343,-1.3203648120120188,0.8350488788584424
2024-01-01,IEABC,-244252,-144914.15,61855.441327941066,-240142.125,20395.656942716996,-1.6059678480561992,-0.2015073606867848
2024-04-01,IEABC,-260854,-149162.65,63855.15897498426,-237429,14554.242670585292,-1.7491358849134795,-1.6094963187155635
2024-07-01,IEABC,-286311,-154141.2,66601.91547341716,-241318.25,22153.747936700398,-1.984474456335313,-2.030931747014418
2024-10-01,IEABC,-326168,-160065.675,71066.46331514209,-253922.5,36072.48004464662,-2.3372814299682294,-2.002787163804161
2025-01-01,IEABC,-311967,-165295.25,74363.30260101934,-264162.875,39764.71101164053,-1.9723673488109643,-1.2021745860546063
2025-04-01,IEABC,-450170,-174064.625,86142.52246629285,-291926.625,73869.8200000466,-3.2052158109026663,-2.142192508387054
