date,series_id,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2010-01-01,MANEMP,11447,NA,NA,NA,NA,NA,NA
2010-02-01,MANEMP,11439,NA,NA,NA,NA,NA,NA
2010-03-01,MANEMP,11439,NA,NA,NA,NA,NA,NA
2010-04-01,MANEMP,11475,NA,NA,NA,NA,NA,NA
2010-05-01,MANEMP,11511,NA,NA,NA,NA,NA,NA
2010-06-01,MANEMP,11529,NA,NA,NA,NA,NA,NA
2010-07-01,MANEMP,11546,NA,NA,NA,NA,NA,NA
2010-08-01,MANEMP,11538,NA,NA,NA,NA,NA,NA
2010-09-01,MANEMP,11549,NA,NA,NA,NA,NA,NA
2010-10-01,MANEMP,11548,NA,NA,NA,NA,NA,NA
2010-11-01,MANEMP,11571,NA,NA,NA,NA,NA,NA
2010-12-01,MANEMP,11579,NA,NA,11514.25,51.29969874091943,NA,1.2621906480778584
2011-01-01,MANEMP,11606,NA,NA,11527.5,52.86088087870583,NA,1.4850301148050389
2011-02-01,MANEMP,11637,NA,NA,11544,53.62156960843954,NA,1.7343766823521454
2011-03-01,MANEMP,11659,NA,NA,11562.333333333334,52.044270199572026,NA,1.8573930674017016
2011-04-01,MANEMP,11689,NA,NA,11580.166666666666,55.918501302152116,NA,1.9462848752912716
2011-05-01,MANEMP,11697,NA,NA,11595.666666666666,60.58702731433421,NA,1.6725252554082584
2011-06-01,MANEMP,11710,NA,NA,11610.75,64.86086507426353,NA,1.5301985239691462
2011-07-01,MANEMP,11729,NA,NA,11626,69.59362562241407,NA,1.4800206064681118
2011-08-01,MANEMP,11748,NA,NA,11643.5,71.82111616560081,NA,1.4550038425892766
2011-09-01,MANEMP,11752,NA,NA,11660.416666666666,71.44541251680873,NA,1.2818644347779142
2011-10-01,MANEMP,11762,NA,NA,11678.25,67.4295929099383,NA,1.2420362690289397
2011-11-01,MANEMP,11753,NA,NA,11693.416666666666,61.30320818141032,NA,0.9719447823515717
2011-12-01,MANEMP,11783,NA,NA,11710.416666666666,54.61011949735279,NA,1.3291187421198078
2012-01-01,MANEMP,11820,NA,NA,11728.25,52.305266552144715,NA,1.754125464756625
2012-02-01,MANEMP,11841,NA,NA,11745.25,53.097038095786985,NA,1.803302094313945
2012-03-01,MANEMP,11880,NA,NA,11763.666666666666,58.51236595538561,NA,1.9881837186695808
2012-04-01,MANEMP,11897,NA,NA,11781,64.84807419864315,NA,1.7887963741940565
2012-05-01,MANEMP,11908,NA,NA,11798.583333333334,68.50409189282496,NA,1.5972281894904767
2012-06-01,MANEMP,11918,NA,NA,11815.916666666666,70.3426139216715,NA,1.4512303089419827
2012-07-01,MANEMP,11944,NA,NA,11833.833333333334,73.50180372967151,NA,1.49882943106869
2012-08-01,MANEMP,11940,NA,NA,11849.833333333334,74.01453583689839,NA,1.2182291714341247
2012-09-01,MANEMP,11934,NA,NA,11865,70.71839159010129,NA,0.9757009237418541
2012-10-01,MANEMP,11941,NA,NA,11879.916666666666,65.71904156515389,NA,0.9294617188349574
