Country,Abbreviation,Continent,GDP,GDP Percentage,Adherence
Afghanistan,AFG,Asia,19101353832.74,0.02,No
Albania,ALB,Europe,15278077446.86,0.02,No
Algeria,DZA,Africa,169988236398.13,0.18,No
Andorra,AND,Europe,3154057987.24,0.00,No
Angola,AGO,Africa,94635415869.99,0.10,No
Antigua and Barbuda,ATG,N. America,1727759259.26,0.00,No
Argentina,ARG,S. America,449663446954.07,0.49,No
Armenia,ARM,Asia,13672802157.83,0.01,No
Australia,AUS,Australia,1392680589329.14,1.51,No
Austria,AUT,Europe,446314739528.47,0.48,No
Azerbaijan,AZE,Asia,39207000000.00,0.04,No
The Bahamas,BHS,N. America,12827000000.00,0.01,No
Bahrain,BHR,Asia,38574069148.94,0.04,No
Bangladesh,BGD,Asia,302571254131.14,0.33,No
Barbados,BRB,N. America,5209000000.00,0.01,No
Belarus,BLR,Europe,63080457022.66,0.07,No
Belgium,BEL,Europe,529606710418.04,0.57,No
Belize,BLZ,N. America,1879613600.00,0.00,No
Benin,BEN,Africa,14390709094.94,0.02,No
Bhutan,BTN,Asia,2446674101.37,0.00,No
Bolivia,BOL,S. America,40895322865.41,0.04,No
Bosnia and Herzegovina,BIH,Europe,20047848434.55,0.02,No
Botswana,BWA,Africa,18340510789.43,0.02,No
Brazil,BRA,S. America,1839758040765.62,2.00,No
Brunei,BRN,Asia,13469422941.39,0.01,No
Bulgaria,BGR,Europe,86000000000.00,0.09,No
Burkina Faso,BFA,Africa,15745810234.66,0.02,No
Burundi,BDI,Africa,3012334881.64,0.00,No
Cape Verde,CPV,Africa,1981845740.71,0.00,No
Cambodia,KHM,Asia,27089389786.97,0.03,No
Cameroon,CMR,Africa,38760467033.39,0.04,No
Canada,CAN,N. America,1736425629519.96,1.88,No
Central African Republic,CAF,Africa,2220307368.70,0.00,No
Chad,TCD,Africa,11314951342.78,0.01,No
Chile,CHL,S. America,282318159744.65,0.31,No
China,CHN,Asia,19910000000000.00,21.61,No
Colombia,COL,S. America,323802808108.25,0.35,No
Comoros,COM,Africa,1185728676.65,0.00,No
Republic of the Congo,COG,Africa,10820591130.73,0.01,No
Costa Rica,CRI,N. America,61773944173.67,0.07,No
Ivory Coast,CIV,Africa,58792205642.15,0.06,No
Croatia,HRV,Europe,60415553038.88,0.07,No
Cuba,CUB,N. America,100023000000.00,0.11,No
Cyprus,CYP,Asia,24564647934.62,0.03,No
Czech Republic,CZE,Europe,246489245494.88,0.27,No
Denmark,DNK,Europe,348078018463.91,0.38,No
Djibouti,DJI,Africa,3318716359.44,0.00,No
Dominica,DMA,N. America,596033333.33,0.00,No
Dominican Republic,DOM,N. America,88941298257.72,0.10,No
Democratic Republic of the Congo,COD,Africa,47319624204.09,0.05,No
Ecuador,ECU,S. America,107435665000.00,0.12,No
Egypt,EGY,Africa,303175127597.52,0.33,No
El Salvador,SLV,N. America,27022640000.00,0.03,No
Equatorial Guinea,GNQ,Africa,11026774945.34,0.01,No
Eritrea,ERI,Africa,2065001626.02,0.00,No
Estonia,EST,Europe,31386949981.24,0.03,No
Eswatini,SWZ,Africa,3791304348.00,0.00,No
Ethiopia,ETH,Africa,96107662398.17,0.10,No
Fiji,FJI,Australia,5535548972.41,0.01,No
Finland,FIN,Europe,268761201364.71,0.29,No
France,FRA,Europe,2715518274227.45,2.95,No
Gabon,GAB,Africa,16657960228.09,0.02,No
The Gambia,GMB,Africa,1763819047.70,0.00,No
Georgia,GEO,Asia,17743195770.20,0.02,No
Germany,DEU,Europe,3845630030823.52,4.17,No
