date,series_id,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2010-01-01,BOPGSTB,-37744,NA,NA,NA,NA,NA,NA
2010-02-01,BOPGSTB,-41504,NA,NA,NA,NA,NA,NA
2010-03-01,BOPGSTB,-40271,NA,NA,NA,NA,NA,NA
2010-04-01,BOPGSTB,-41496,NA,NA,NA,NA,NA,NA
2010-05-01,BOPGSTB,-42088,NA,NA,NA,NA,NA,NA
2010-06-01,BOPGSTB,-47316,NA,NA,NA,NA,NA,NA
2010-07-01,BOPGSTB,-41609,NA,NA,NA,NA,NA,NA
2010-08-01,BOPGSTB,-45619,NA,NA,NA,NA,NA,NA
2010-09-01,BOPGSTB,-44333,NA,NA,NA,NA,NA,NA
2010-10-01,BOPGSTB,-40646,NA,NA,NA,NA,NA,NA
2010-11-01,BOPGSTB,-38739,NA,NA,NA,NA,NA,NA
2010-12-01,BOPGSTB,-41721,NA,NA,-41923.833333333336,2714.2586743925403,NA,0.07472881462881592
2011-01-01,BOPGSTB,-48123,NA,NA,-42788.75,2907.9966901631783,NA,-1.8343384014308062
2011-02-01,BOPGSTB,-44753,NA,NA,-43059.5,2928.6813818446753,NA,-0.5782465824033486
2011-03-01,BOPGSTB,-44312,NA,NA,-43396.25,2808.770974352241,NA,-0.32603227830321424
2011-04-01,BOPGSTB,-42685,NA,NA,-43495.333333333336,2756.1213633831458,NA,0.2940122100931904
2011-05-01,BOPGSTB,-47725,NA,NA,-43965.083333333336,2966.782262388705,NA,-1.267338258804125
2011-06-01,BOPGSTB,-49882,NA,NA,-44178.916666666664,3303.6113974182126,NA,-1.7263178525750098
2011-07-01,BOPGSTB,-46070,NA,NA,-44550.666666666664,3238.485598191996,NA,-0.4691493252838795
2011-08-01,BOPGSTB,-45052,NA,NA,-44503.416666666664,3225.592079781868,NA,-0.1700721355226151
2011-09-01,BOPGSTB,-43477,NA,NA,-44432.083333333336,3239.14010638439,NA,0.2948570614314748
2011-10-01,BOPGSTB,-45509,NA,NA,-44837.333333333336,3019.134533824774,NA,-0.22246993605010607
2011-11-01,BOPGSTB,-47460,NA,NA,-45564.083333333336,2404.874423420949,NA,-0.7883641025919811
2011-12-01,BOPGSTB,-49473,NA,NA,-46210.083333333336,2318.3100999859726,NA,-1.4074547950623202
2012-01-01,BOPGSTB,-50126,NA,NA,-46377,2530.9178715887388,NA,-1.481280780417672
2012-02-01,BOPGSTB,-42780,NA,NA,-46212.583333333336,2704.165758042524,NA,1.2693686853789963
2012-03-01,BOPGSTB,-49749,NA,NA,-46665.666666666664,2810.180334987688,NA,-1.0972012347196374
2012-04-01,BOPGSTB,-46842,NA,NA,-47012.083333333336,2515.652471240932,NA,0.06761002772749303
2012-05-01,BOPGSTB,-45106,NA,NA,-46793.833333333336,2561.371927603477,NA,0.6589567548327668
2012-06-01,BOPGSTB,-42941,NA,NA,-46215.416666666664,2584.211659581148,NA,1.267085323497606
2012-07-01,BOPGSTB,-42406,NA,NA,-45910.083333333336,2809.5845198609745,NA,1.247189151478784
2012-08-01,BOPGSTB,-44030,NA,NA,-45824.916666666664,2853.112860092331,NA,0.6291081897855867
2012-09-01,BOPGSTB,-38794,NA,NA,-45434.666666666664,3459.3262437367857,NA,1.9196416292593943
2012-10-01,BOPGSTB,-41467,NA,NA,-45097.833333333336,3643.32130775137,NA,0.9965723653328447
2012-11-01,BOPGSTB,-45332,NA,NA,-44920.5,3568.923048662261,NA,-0.1153008889206066
2012-12-01,BOPGSTB,-36334,NA,NA,-43825.583333333336,4030.8576226706923,NA,1.8585581617168851
2013-01-01,BOPGSTB,-40135,NA,NA,-42993,3622.3141774285677,NA,0.7889983750743719
2013-02-01,BOPGSTB,-41004,NA,NA,-42845,3667.8041982041022,NA,0.5019351907883808
2013-03-01,BOPGSTB,-34314,NA,NA,-41558.75,3732.4150145594863,NA,1.9410354882132668
2013-04-01,BOPGSTB,-38487,NA,NA,-40862.5,3423.7922754534256,NA,0.693821297813812
2013-05-01,BOPGSTB,-41701,NA,NA,-40578.75,3171.9725759733915,NA,-0.35380192391972753
2013-06-01,BOPGSTB,-34426,NA,NA,-39869.166666666664,3527.9341839184876,NA,1.542876477537039
2013-07-01,BOPGSTB,-36356,NA,NA,-39365,3564.549238364828,NA,0.8441460052268275
2013-08-01,BOPGSTB,-36617,NA,NA,-38747.25,3316.2961575446566,NA,0.6423581908249141
2013-09-01,BOPGSTB,-39917,NA,NA,-38840.833333333336,3333.5356287099717,NA,-0.32283040787031414
2013-10-01,BOPGSTB,-36285,NA,NA,-38409,3297.861979580655,NA,0.6440536363107836
2013-11-01,BOPGSTB,-33983,NA,NA,-37463.25,2706.273188017392,NA,1.285993600132299
2013-12-01,BOPGSTB,-33636,NA,NA,-37238.416666666664,2912.8102162792215,NA,1.2367495302417386
2014-01-01,BOPGSTB,-37433,NA,NA,-37013.25,2769.449637645456,NA,-0.15156440987201525
2014-02-01,BOPGSTB,-40119,NA,NA,-36939.5,2663.2634287484766,NA,-1.1938360905943555
2014-03-01,BOPGSTB,-42940,NA,NA,-37658.333333333336,3029.1731044906787,NA,-1.7436001458076846
2014-04-01,BOPGSTB,-43735,NA,NA,-38095.666666666664,3501.6729854413443,NA,-1.6104682980905383
2014-05-01,BOPGSTB,-39575,NA,NA,-37918.5,3353.3184784899,NA,-0.49398827180470245
2014-06-01,BOPGSTB,-38895,NA,NA,-38290.916666666664,3173.5248386478956,NA,-0.19035090760175366
2014-07-01,BOPGSTB,-38935,NA,NA,-38505.833333333336,3117.4075719573416,NA,-0.13766780786934488
2014-08-01,BOPGSTB,-36935,NA,NA,-38532.333333333336,3101.201067426306,NA,0.5150692582016188
2014-09-01,BOPGSTB,-41672,NA,NA,-38678.583333333336,3211.845475121835,NA,-0.9319927405763861
2014-10-01,BOPGSTB,-41067,NA,NA,-39077.083333333336,3184.4099056135497,NA,-0.6248933791968158
2014-11-01,BOPGSTB,-39808,NA,NA,-39562.5,2751.894108031445,NA,-0.08921128152551529
2014-12-01,BOPGSTB,-42838,NA,NA,-40329.333333333336,2171.1168191565007,NA,-1.15547290893417
2015-01-01,BOPGSTB,-38865,NA,NA,-40448.666666666664,2032.3714466036215,NA,0.7792210765966004
2015-02-01,BOPGSTB,-33903,NA,NA,-39930.666666666664,2779.029501408175,NA,2.1689826119558493
2015-03-01,BOPGSTB,-48732,NA,NA,-40413.333333333336,3699.6907815097034,NA,-2.2484761992114737
2015-04-01,BOPGSTB,-39836,NA,NA,-40088.416666666664,3549.6200170090765,NA,0.0711108979150257
2015-05-01,BOPGSTB,-38502,NA,NA,-39999,3577.137021799315,NA,0.41849109801418866
2015-06-01,BOPGSTB,-42425,NA,NA,-40293.166666666664,3622.9477409056476,NA,-0.5884250852595599
