date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,AMTMNO,1188568,NA,NA,NA,NA,NA,NA
2010-07-01,AMTMNO,1205836,NA,NA,NA,NA,NA,NA
2010-10-01,AMTMNO,1232729,NA,NA,NA,NA,NA,NA
2011-01-01,AMTMNO,1274021,NA,NA,NA,NA,NA,NA
2011-04-01,AMTMNO,1347842,NA,NA,NA,NA,NA,NA
2011-07-01,AMTMNO,1367723,NA,NA,NA,NA,NA,NA
2011-10-01,AMTMNO,1386267,NA,NA,NA,NA,NA,NA
2012-01-01,AMTMNO,1413115,NA,NA,1302012.625,87475.79284242421,NA,1.2700928038472983
2012-04-01,AMTMNO,1447630,NA,NA,1334395.375,87431.3586387099,NA,1.2951259909835806
2012-07-01,AMTMNO,1409891,NA,NA,1359902.25,73170.02550761968,NA,0.683186177033577
2012-10-01,AMTMNO,1402698,NA,NA,1381148.375,52812.642577153274,NA,0.4080391351089551
2013-01-01,AMTMNO,1442962,NA,NA,1402266,34436.78180583745,NA,1.1817596728246407
2013-04-01,AMTMNO,1463164,NA,NA,1416681.25,32481.737188545107,NA,1.4310426111197168
2013-07-01,AMTMNO,1477438,NA,NA,1430395.625,32016.162279776756,NA,1.469332101359152
2013-10-01,AMTMNO,1462584,NA,NA,1439935.25,28122.08819085606,NA,0.8053722698787452
2014-01-01,AMTMNO,1496544,NA,NA,1450363.875,31962.339269108128,NA,1.4448293227596605
2014-04-01,AMTMNO,1483137,NA,NA,1454802.25,33933.01845337581,NA,0.835020027438235
2014-07-01,AMTMNO,1495359,NA,NA,1465485.75,31110.127899585554,NA,0.9602419538878838
2014-10-01,AMTMNO,1546661,NA,NA,1483481.125,31239.471133430357,NA,2.0224374071553726
2015-01-01,AMTMNO,1426599,NA,NA,1481435.75,34623.773994798095,NA,-1.583788930930485
2015-04-01,AMTMNO,1374799,NA,NA,1470390.125,51343.56689272627,NA,-1.8617936147623235
2015-07-01,AMTMNO,1374177,NA,NA,1457482.5,61327.65822553941,NA,-1.3583675361226837
2015-10-01,AMTMNO,1352795,NA,NA,1443758.875,71468.59043651374,NA,-1.2727811538525322
2016-01-01,AMTMNO,1332569,NA,NA,1423262,77432.23741347749,NA,-1.1712563530317723
2016-04-01,AMTMNO,1309702,NA,NA,1401582.625,82393.78904112599,NA,-1.115140183128837
2016-07-01,AMTMNO,1320003,NA,NA,1379663.125,77033.07839852678,NA,-0.7744741121645344
2016-10-01,AMTMNO,1313548,NA,NA,1350524,40051.53256564776,NA,-0.9232106147097691
2017-01-01,AMTMNO,1343540,NA,NA,1340141.625,25712.414377592006,NA,0.1321686462459019
2017-04-01,AMTMNO,1354101,NA,NA,1337554.375,22577.097687305668,NA,0.7328942466021043
2017-07-01,AMTMNO,1367500,NA,NA,1336719.75,21105.27484337235,NA,1.4584150279220773
2017-10-01,AMTMNO,1360056,NA,NA,1337627.375,22031.163058187114,NA,1.0180408969223793
2018-01-01,AMTMNO,1419657,NA,NA,1348513.375,36160.035698218395,NA,1.967465563190947
2018-04-01,AMTMNO,1444022,NA,NA,1365303.375,45533.62821958388,NA,1.7288019443647882
2018-07-01,AMTMNO,1474624,NA,NA,1384631,55321.911781344446,NA,1.6267152942163374
2018-10-01,AMTMNO,1483419,NA,NA,1405864.875,56723.45689757205,NA,1.3672319925783574
2019-01-01,AMTMNO,1461539,NA,NA,1420614.75,53449.04327287547,NA,0.7656685226537703
2019-04-01,AMTMNO,1443999,NA,NA,1431852,46460.64309252971,NA,0.2614470913759927
2019-07-01,AMTMNO,1415472,NA,NA,1437848.5,39550.32940805569,NA,-0.5657727845736301
2019-10-01,AMTMNO,1407271,NA,NA,1443750.375,28168.506517220863,NA,-1.2950411473784835
2020-01-01,AMTMNO,1378076,1392540.925,80577.15100683845,1438552.75,35997.54690749278,-0.1795164611711381,-1.680024201521686
2020-04-01,AMTMNO,1355730,1396719.975,73774.76551083606,1427516.25,46176.71684100425,-0.5556096954856397,-1.5545983974385735
2020-07-01,AMTMNO,1158169,1395528.3,77240.71551714161,1387959.375,101936.15252547267,-3.0729816316541525,-2.2542578791423193
2020-10-01,AMTMNO,1332517,1398023,73361.91772756944,1369096.625,95507.47508656437,-0.8929155893014887,-0.38300274367891735
2021-01-01,AMTMNO,1397722,1401115.525,70554.20067742337,1361119.5,89135.92172631637,-0.048098128352629756,0.41063691597181884
2021-04-01,AMTMNO,1490649,1404685.7,71397.45071840576,1366950.75,96550.01652104616,1.2040107753852802,1.2811831054740008
2021-07-01,AMTMNO,1540693,1409009.95,74281.17436451712,1382603.375,114096.04989398501,1.772764783628715,1.385583682755824
2021-10-01,AMTMNO,1597213,1414283.6,79900.69359084085,1406346.125,137354.81384713878,2.28945947499221,1.3895899943660832
2022-01-01,AMTMNO,1667668,1420647.425,89380.06867933385,1442545.125,164347.8001012639,2.7637098365434034,1.3697954877478686
2022-04-01,AMTMNO,1726753,1427625.5,101601.01615583102,1488923,187121.57535906206,2.944138861182371,1.2709918647469436
2022-07-01,AMTMNO,1782696,1436945.625,116009.93007357724,1566988.875,157322.01192407656,2.980351550774265,1.3711185253853735
2022-10-01,AMTMNO,1776002,1446278.225,127618.85157855843,1622424.5,140089.80086970745,2.583660414754881,1.096278951405156
2023-01-01,AMTMNO,1777241,1454635.2,137924.92194914204,1669864.375,115169.85431457002,2.338995704626584,0.9323327327194152
2023-04-01,AMTMNO,1760710,1462073.85,146173.74469648203,1703622,92479.20722287486,2.0430218205060955,0.6173063298695667
2023-07-01,AMTMNO,1761726,1469181.05,153659.51739244623,1731251.125,66106.07684285592,1.9038518079738627,0.460999600270386
2023-10-01,AMTMNO,1780436,1477127.35,161336.48701164586,1754154,39364.039568403765,1.8799755443919264,0.6676652164808743
2024-01-01,AMTMNO,1783455,1484300.125,168443.14984194603,1768627.375,19084.717191194035,1.7759990553531189,0.7769371089680952
2024-04-01,AMTMNO,1744399,1490831.675,173389.61023192492,1770833.125,13857.505552046516,1.4624136051798593,-1.907567339642605
2024-07-01,AMTMNO,1754184,1497302.3,178322.20272580927,1767269.125,14035.98443224211,1.4405480421021093,-0.9322555936968776
2024-10-01,AMTMNO,1774867,1503007.45,183516.74578617112,1767127.25,13940.514355646998,1.4813882451728064,0.5551983092262873
2025-01-01,AMTMNO,1774048,1511693.675,187976.00444906592,1766728.125,13652.31544398762,1.3956798675922895,0.5361636295346237
2025-04-01,AMTMNO,1808862,1522545.25,192348.6915059171,1772747.125,19834.741256099827,1.48852975166297,1.8207888136122523
2025-07-01,AMTMNO,NA,NA,NA,NA,NA,NA,NA
