date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,AMTMVS,1192048,NA,NA,NA,NA,NA,NA
2010-07-01,AMTMVS,1213145,NA,NA,NA,NA,NA,NA
2010-10-01,AMTMVS,1232252,NA,NA,NA,NA,NA,NA
2011-01-01,AMTMVS,1276871,NA,NA,NA,NA,NA,NA
2011-04-01,AMTMVS,1343638,NA,NA,NA,NA,NA,NA
2011-07-01,AMTMVS,1370205,NA,NA,NA,NA,NA,NA
2011-10-01,AMTMVS,1383627,NA,NA,NA,NA,NA,NA
2012-01-01,AMTMVS,1398909,NA,NA,1301336.875,82736.5457986761,NA,1.1793110778086324
2012-04-01,AMTMVS,1428089,NA,NA,1330842,80245.13857816292,NA,1.2118740365221798
2012-07-01,AMTMVS,1415728,NA,NA,1356164.875,68970.01528498247,NA,0.8636089865122776
2012-10-01,AMTMVS,1411035,NA,NA,1378512.75,49221.00444424108,NA,0.6607392589243503
2013-01-01,AMTMVS,1434758,NA,NA,1398248.625,30880.867072104695,NA,1.1822652166713172
2013-04-01,AMTMVS,1456372,NA,NA,1412340.375,27986.687324703405,NA,1.5733060683153444
2013-07-01,AMTMVS,1443172,NA,NA,1421461.25,23882.028687159007,NA,0.9090831555559403
2013-10-01,AMTMVS,1449889,NA,NA,1429744,20072.489972952677,NA,1.0036124081837894
2014-01-01,AMTMVS,1467695,NA,NA,1438342.25,19706.32939474741,NA,1.4895087467594945
2014-04-01,AMTMVS,1477319,NA,NA,1444496,23389.511446678098,NA,1.403321316686232
2014-07-01,AMTMVS,1481743,NA,NA,1452747.875,23435.255422043698,NA,1.237243822515652
2014-10-01,AMTMVS,1485824,NA,NA,1462096.5,18895.842951748484,NA,1.2556994710735796
2015-01-01,AMTMVS,1444522,NA,NA,1463317,17108.572087031192,NA,-1.098572102007693
2015-04-01,AMTMVS,1397647,NA,NA,1455976.375,28988.077213805875,NA,-2.0121850293754573
2015-07-01,AMTMVS,1400912,NA,NA,1450693.875,34902.01645602197,NA,-1.4263323456605232
2015-10-01,AMTMVS,1385309,NA,NA,1442621.375,41884.6498883285,NA,-1.3683384044704778
2016-01-01,AMTMVS,1350512,NA,NA,1427973.5,51296.38755033619,NA,-1.5100770970273194
2016-04-01,AMTMVS,1327077,NA,NA,1409193.25,57746.71128731055,NA,-1.4220073865582106
2016-07-01,AMTMVS,1337900,NA,NA,1391212.875,54216.08728159014,NA,-0.9833405115183065
2016-10-01,AMTMVS,1338339,NA,NA,1372777.25,40885.017115075294,NA,-0.842319569124059
2017-01-01,AMTMVS,1350116,NA,NA,1360976.5,29162.73029056093,NA,-0.3724102610349624
2017-04-01,AMTMVS,1372955,NA,NA,1357890,25845.145717191404,NA,0.5828947596135711
2017-07-01,AMTMVS,1372241,NA,NA,1354306.125,20452.40585524982,NA,0.8769078379791877
2017-10-01,AMTMVS,1384153,NA,NA,1354161.625,20204.656407708877,NA,1.484379362598668
2018-01-01,AMTMVS,1427101,NA,NA,1363735.25,32582.193387317733,NA,1.944796940056971
2018-04-01,AMTMVS,1455615,NA,NA,1379802.5,42196.82497873169,NA,1.7966399139795826
2018-07-01,AMTMVS,1479421,NA,NA,1397492.625,50889.94585500166,NA,1.6099127956126085
2018-10-01,AMTMVS,1494676,NA,NA,1417034.75,54796.77513125854,NA,1.416894512752265
2019-01-01,AMTMVS,1489667,NA,NA,1434478.625,52619.687233520985,NA,1.0488160971972227
2019-04-01,AMTMVS,1477218,NA,NA,1447511.5,47905.370244740974,NA,0.6201079304519344
2019-07-01,AMTMVS,1467808,NA,NA,1459457.375,37165.92101427443,NA,0.22468500099305358
2019-10-01,AMTMVS,1440446,NA,NA,1466494,23795.889645062653,NA,-1.0946428306959572
2020-01-01,AMTMVS,1415973,1399298.175,75403.18453143348,1465103,26588.919528899358,0.2211421852222791,-1.8477621832884505
2020-04-01,AMTMVS,1366192,1403651.775,67771.33493745336,1453925.125,44146.83155250215,-0.5527377472285561,-1.9873028689649521
