,1989,,1992,,1995,,1998,,2001,,2004,,2007,,2010,,2013,,2016,,2019,,2022,
,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%
USD,485.0056202,89.94209,667.9291258,81.73182,981.1979433,83.01503,1325.072452,86.80112,1113.691208,89.86381,1702.225809,88.00856,2845.444997,85.59693,3371.35394,84.86068,4662.342012,87.03969,4437.077366,87.57826,5810.830589,88.29676,6638.789576,88.44653
EUR,,,,,,,,,469.8506723,37.91228,723.5544216,37.40925,1231.194262,37.0369,1551.089461,39.04262,1789.624028,33.40989,1590.432388,31.39168,2126.344988,32.31025,2292.443972,30.54152
JPY,151.1406354,28.02834,189.5542693,23.195,290.7983515,24.60323,331.6363893,21.72441,291.6590571,23.53399,402.8913312,20.83031,573.413842,17.24949,754.2858159,18.9862,1234.554094,23.04748,1095.560456,21.62398,1107.57352,16.82981,1253.236256,16.69648
GBP,78.26255104,14.51343,111.5334211,13.6479,109.5166452,9.26574,168.180693,11.01696,161.6805751,13.04602,319.0811891,16.49715,494.2070439,14.86678,511.6526477,12.87886,632.9078745,11.81554,648.6313555,12.80257,842.8112652,12.80669,968.1386088,12.89821
CNY,,,,,,,0.211340909,0.01384,0.095398128,0.0077,1.855439745,0.09593,15.00770375,0.45146,34.25551358,0.86225,119.5634549,2.23209,202.0674186,3.98837,285.0333764,4.33114,526.2308793,7.01081
AUD,13.43471027,2.49141,20.17486116,2.46872,31.19821724,2.63955,46.30158933,3.03306,53.58595408,4.32385,116.4744501,6.02197,219.9675515,6.61708,301.3390751,7.58504,462.6124103,8.63636,348.608459,6.88077,446.2940202,6.78153,478.5765909,6.37593
CAD,7.53684,1.39767,26.71339779,3.26881,40.38854183,3.4171,53.82271883,3.52575,55.61577669,4.48764,81.22347175,4.19942,142.5986687,4.28967,209.8767109,5.28283,244.3473194,4.56164,260.4005015,5.13974,331.7748517,5.04139,465.7755847,6.20538
CHF,52.41918694,9.7209,68.88526599,8.42921,85.13916766,7.20327,107.7464779,7.05812,74.10905642,5.97986,116.616015,6.02929,226.8207494,6.82324,250.4538448,6.3042,276.4343957,5.16066,243.4185524,4.80455,325.659029,4.94846,389.6995442,5.19185
HKD,5.060877033,0.93852,8.093007894,0.99031,13.10286791,1.10858,15.09635263,0.98891,27.74104569,2.23843,34.02172308,1.75899,89.91575872,2.70485,93.99370604,2.36592,77.46877276,1.44624,87.68774823,1.73077,232.9186857,3.53925,193.5972238,2.57924
SGD,2.258980952,0.41892,2.168536842,0.26536,5.394526315,0.45641,16.89355,1.10664,13.06631008,1.05432,17.52078233,0.90586,38.80308359,1.16728,56.31276615,1.41745,74.73849864,1.39527,91.48482597,1.80571,119.3554142,1.81363,182.3714227,2.42968
SEK,6.02499975,1.11731,9.362743038,1.14568,7.323972222,0.61965,5.047475,0.33064,30.97206576,2.49914,42.4050404,2.19243,89.76605381,2.70035,87.01627807,2.1903,94.48118106,1.76384,112.2809931,2.21618,134.1638956,2.03865,167.511394,2.2317
KRW,,,,,,,2.294904545,0.15033,9.961256019,0.80377,22.07578864,1.14136,38.42461527,1.15589,60.25640594,1.51672,64.19540932,1.19844,83.84217368,1.65486,131.7675399,2.00223,142.0529976,1.89253
NOK,1.33528287,0.24762,1.984818836,0.24287,2.531382352,0.21417,3.518594736,0.23049,18.06122744,1.45736,26.67340841,1.37907,69.93794031,2.10388,52.47363912,1.32082,77.17644256,1.44078,84.68029112,1.6714,118.6449678,1.80283,125.3168155,1.66956
NZD,,,1.54409975,0.18895,2.801803911,0.23705,3.2856,0.21523,6.880334617,0.55517,20.50976813,1.0604,63.01961068,1.89576,63.24890891,1.59204,105.1911021,1.96378,104.0488249,2.0537,136.8071587,2.07881,124.5839512,1.65979
INR,,,,,,,1.337305,0.0876,2.841363661,0.22927,6.262230223,0.32377,23.62443562,0.71067,37.73438041,0.94982,52.76689557,0.98509,57.95205218,1.14385,113.6318356,1.72666,122.331879,1.62979
MXN,,,,,,,6.992055,0.45803,10.25544543,0.82751,21.40352712,1.10661,43.56413071,1.3105,49.93539856,1.25693,135.3532678,2.52686,97.05628946,1.91568,110.8046163,1.6837,114.1769972,1.52114
TWD,,,,,,,1.687095238,0.11052,3.333066665,0.26895,8.0811868,0.41781,12.0822431,0.36346,19.01438043,0.47861,24.43378583,0.45615,32.11617897,0.6339,60.45385823,0.91861,82.86147349,1.10394
ZAR,,,2.054001578,0.25134,3.568452058,0.30191,6.14768421,0.40271,11.69410283,0.9436,13.99733046,0.72369,30.29366431,0.9113,28.67236054,0.72171,59.70363688,1.11459,49.07935705,0.96872,72.1390772,1.09617,72.74471435,0.96916
BRL,,,,,,,3.418,0.2239,5.892555343,0.47547,5.143493982,0.26593,13.09951405,0.39406,27.21322018,0.68499,59.16689744,1.10457,50.6847974,1.00041,70.73148354,1.07478,65.72780958,0.87567
DKK,2.58912284,0.48014,3.72597562,0.45593,6.118764705,0.51768,4.026857894,0.26379,14.75042861,1.19021,16.77770447,0.86744,27.98737144,0.84192,22.52614446,0.56701,42.06994121,0.78539,42.24411812,0.83381,41.69030323,0.63349,54.90580113,0.73149
PLN,,,,,,,0.909714285,0.05959,5.60040291,0.4519,7.295872529,0.37721,25.35534235,0.76274,32.00184249,0.80552,37.56894008,0.70136,35.21338842,0.69504,40.63140406,0.6174,54.3151225,0.72362
THB,,,,,,,2.180983333,0.14287,1.874115838,0.15122,3.871302292,0.20015,6.498729952,0.1955,7.650422283,0.19257,17.09624539,0.31916,18.24320569,0.36008,31.61859934,0.48045,31.08817592,0.41418
ILS,,,,,,,,,1.24175,0.1002,2.159131578,0.11163,5.131787847,0.15437,5.966059241,0.15017,9.813406983,0.1832,13.9978295,0.27629,20.25409598,0.30777,31.02712141,0.41336
