date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,LES1252881600Q,344,NA,NA,NA,NA,NA,NA
2010-07-01,LES1252881600Q,342,NA,NA,NA,NA,NA,NA
2010-10-01,LES1252881600Q,342,NA,NA,NA,NA,NA,NA
2011-01-01,LES1252881600Q,341,NA,NA,NA,NA,NA,NA
2011-04-01,LES1252881600Q,338,NA,NA,NA,NA,NA,NA
2011-07-01,LES1252881600Q,336,NA,NA,NA,NA,NA,NA
2011-10-01,LES1252881600Q,336,NA,NA,NA,NA,NA,NA
2012-01-01,LES1252881600Q,335,NA,NA,339.25,3.4121631178560534,NA,-1.2455442055977617
2012-04-01,LES1252881600Q,335,NA,NA,338.125,3.090885217631258,NA,-1.011037220720505
2012-07-01,LES1252881600Q,337,NA,NA,337.5,2.6726124191242437,NA,-0.18708286933869708
2012-10-01,LES1252881600Q,333,NA,NA,336.375,2.38671920665766,NA,-1.414075015856733
2013-01-01,LES1252881600Q,333,NA,NA,335.375,1.7677669529663689,NA,-1.3435028842544403
2013-04-01,LES1252881600Q,331,NA,NA,334.5,2,NA,-1.75
2013-07-01,LES1252881600Q,335,NA,NA,334.375,1.9226098333849673,NA,0.3250789573356225
2013-10-01,LES1252881600Q,334,NA,NA,334.125,1.807721533549109,NA,-0.06914781822318997
2014-01-01,LES1252881600Q,334,NA,NA,334,1.7728105208558367,NA,0
2014-04-01,LES1252881600Q,335,NA,NA,334,1.7728105208558367,NA,0.5640760748177662
2014-07-01,LES1252881600Q,330,NA,NA,333.125,1.807721533549109,NA,-1.7286954555797494
2014-10-01,LES1252881600Q,336,NA,NA,333.5,2.0701966780270626,NA,1.20761472884912
2015-01-01,LES1252881600Q,336,NA,NA,333.875,2.2320714274285347,NA,0.95203046546235
2015-04-01,LES1252881600Q,341,NA,NA,335.125,3.044315545875155,NA,1.9298262323563122
2015-07-01,LES1252881600Q,339,NA,NA,335.625,3.3354160160315836,NA,1.011867780144413
2015-10-01,LES1252881600Q,340,NA,NA,336.375,3.583194903195431,NA,1.0116669893583763
2016-01-01,LES1252881600Q,345,NA,NA,337.75,4.527692569068709,NA,1.6012571280852748
2016-04-01,LES1252881600Q,346,NA,NA,339.125,5.19443383412888,NA,1.3235321152479278
2016-07-01,LES1252881600Q,345,NA,NA,341,4,NA,1
2016-10-01,LES1252881600Q,347,NA,NA,342.375,3.9256482631170977,NA,1.1781493628590132
2017-01-01,LES1252881600Q,349,NA,NA,344,3.585685828003181,NA,1.3944333775567925
2017-04-01,LES1252881600Q,352,NA,NA,345.375,4.307385683749649,NA,1.5380559082493932
2017-07-01,LES1252881600Q,354,NA,NA,347.25,4.399675312695569,NA,1.5342041219547282
2017-10-01,LES1252881600Q,352,NA,NA,348.75,3.5355339059327378,NA,0.9192388155425117
2018-01-01,LES1252881600Q,345,NA,NA,348.75,3.5355339059327378,NA,-1.0606601717798212
2018-04-01,LES1252881600Q,351,NA,NA,349.375,3.420004177106889,NA,0.47514561849881976
2018-07-01,LES1252881600Q,351,NA,NA,350.125,2.948970764763288,NA,0.29671369091047456
2018-10-01,LES1252881600Q,354,NA,NA,351,2.9277002188455996,NA,1.0246950765959597
2019-01-01,LES1252881600Q,355,NA,NA,351.75,3.1052950170405937,NA,1.0465994316692373
2019-04-01,LES1252881600Q,355,NA,NA,352.125,3.313931631332013,NA,0.8675495815356977
2019-07-01,LES1252881600Q,358,NA,NA,352.625,3.8890872965260113,NA,1.3820723450464338
2019-10-01,LES1252881600Q,360,NA,NA,353.625,4.657942525560891,NA,1.3686300260290025
2020-01-01,LES1252881600Q,362,343.1,8.75829277357707,355.75,3.9910614413425693,2.1579548079300874,1.5659994444729815
2020-04-01,LES1252881600Q,367,343.675,9.53908961951982,357.75,5.11998883927355,2.445201893508799,1.8066445631769066
2020-07-01,LES1252881600Q,393,344.95,12.314156956059215,363,12.873006086935783,3.902012957237554,2.330457998496995
2020-10-01,LES1252881600Q,384,346,13.761708301828497,366.75,14.179965746482909,2.761285093868106,1.2165050542719795
