date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,MANEMP,34325,NA,NA,NA,NA,NA,NA
2010-07-01,MANEMP,34515,NA,NA,NA,NA,NA,NA
2010-10-01,MANEMP,34633,NA,NA,NA,NA,NA,NA
2011-01-01,MANEMP,34698,NA,NA,NA,NA,NA,NA
2011-04-01,MANEMP,34902,NA,NA,NA,NA,NA,NA
2011-07-01,MANEMP,35096,NA,NA,NA,NA,NA,NA
2011-10-01,MANEMP,35229,NA,NA,NA,NA,NA,NA
2012-01-01,MANEMP,35298,NA,NA,34837,351.3760704105259,NA,1.3119846193891243
2012-04-01,MANEMP,35541,NA,NA,34989,361.12839030698524,NA,1.5285422437453895
2012-07-01,MANEMP,35723,NA,NA,35140,386.2952238897085,NA,1.5092084083505337
2012-10-01,MANEMP,35818,NA,NA,35288.125,391.27536430790747,NA,1.3542253061018785
2013-01-01,MANEMP,35810,NA,NA,35427.125,346.6601619124165,NA,1.1044678393034766
2013-04-01,MANEMP,35913,NA,NA,35553.5,310.24552489002275,NA,1.1587596634228237
2013-07-01,MANEMP,35938,NA,NA,35658.75,273.5166487489512,NA,1.0209616170616043
2013-10-01,MANEMP,35964,NA,NA,35750.625,228.23668009953428,NA,0.934884786735186
2014-01-01,MANEMP,36147,NA,NA,35856.75,179.99503961419128,NA,1.6125444380141458
2014-04-01,MANEMP,36238,NA,NA,35943.875,173.91084538595385,NA,1.6912401256359795
2014-07-01,MANEMP,36375,NA,NA,36025.375,205.51672681317208,NA,1.701199729196892
2014-10-01,MANEMP,36548,NA,NA,36116.625,256.1193569412511,NA,1.6842733214379777
2015-01-01,MANEMP,36759,NA,NA,36235.25,308.27434442160677,NA,1.6989736884614088
2015-04-01,MANEMP,36826,NA,NA,36349.375,339.3640849336552,NA,1.404465060270532
2015-07-01,MANEMP,36904,NA,NA,36470.125,343.90839207971817,NA,1.261600501738927
2015-10-01,MANEMP,36967,NA,NA,36595.5,314.61586555217275,NA,1.1808050409282178
2016-01-01,MANEMP,36996,NA,NA,36701.625,283.3548696296874,NA,1.038891621607614
2016-04-01,MANEMP,37004,NA,NA,36797.375,228.4006113952287,NA,0.904660450503139
2016-07-01,MANEMP,36949,NA,NA,36869.125,155.18324421700393,NA,0.5147140749828959
2016-10-01,MANEMP,36978,NA,NA,36922.875,87.98772235780561,NA,0.6265078640839454
2017-01-01,MANEMP,36951,NA,NA,36946.875,57.96658520216626,NA,0.0711616871273943
2017-04-01,MANEMP,37045,NA,NA,36974.25,42.33117729792748,NA,1.6713449640689273
2017-07-01,MANEMP,37134,NA,NA,37003,61.54673021371647,NA,2.128464006862951
2017-10-01,MANEMP,37268,NA,NA,37040.625,109.62264820738459,NA,2.074160802700652
2018-01-01,MANEMP,37430,NA,NA,37094.875,173.28625161852858,NA,1.933938768193465
2018-04-01,MANEMP,37654,NA,NA,37176.125,256.8342642361301,NA,1.8606356960247639
2018-07-01,MANEMP,37874,NA,NA,37291.75,335.9926657362798,NA,1.732924731330318
2018-10-01,MANEMP,38074,NA,NA,37428.75,405.9488884083808,NA,1.5894858156401317
2019-01-01,MANEMP,38233,NA,NA,37589,441.86196939768416,NA,1.4574687223656213
2019-04-01,MANEMP,38360,NA,NA,37753.375,454.9797287478076,NA,1.3333011597451816
2019-07-01,MANEMP,38350,NA,NA,37905.375,420.29749242989436,NA,1.057881638620919
2019-10-01,MANEMP,38366,NA,NA,38042.625,356.9269383021045,NA,0.9059977415498239
2020-01-01,MANEMP,38270,36527.575,1161.5762475387287,38147.625,261.8527053244138,1.5000521951891133,0.46734288976845784
2020-04-01,MANEMP,38172,36623.75,1133.453170511949,38212.375,170.44306757892585,1.365958506517476,-0.23688261760076476
2020-07-01,MANEMP,34942,36634.425,1114.9430912808384,37845.875,1177.7480251370773,-1.5179474299946174,-2.4656165308891262
2020-10-01,MANEMP,36029,36669.325,1071.6981824332677,37590.25,1332.874096508315,-0.5974863170395166,-1.1713409421714727
2021-01-01,MANEMP,36357,36710.8,1024.5143990428605,37355.75,1368.1963883678604,-0.3453343362772998,-0.7299756149710511
2021-04-01,MANEMP,36556,36752.15,982.1401683346478,37130.25,1327.081088059699,-0.19971691040047823,-0.4327165876801096
2021-07-01,MANEMP,36659,36791.225,944.9480107120803,36918.875,1236.6348851968046,-0.13992833309459887,-0.2101469100628211
2021-10-01,MANEMP,37043,36836.575,910.9690779040943,36753.5,1095.9213996841718,0.226599348986613,0.2641612802555271
2022-01-01,MANEMP,37484,36891.225,881.3917167374182,36655.25,968.3520242438402,0.6725443281838777,0.8558354598857253
2022-04-01,MANEMP,37844,36948.8,866.0147508662591,36614.25,899.4512215790248,1.033700637436654,1.3672225580405812
2022-07-01,MANEMP,38232,37011.525,865.8169400733326,37025.5,768.1861753507413,1.4096224542530056,1.5705828075454908
