Country,Abbreviation,Continent,GDP,GDP Percentage,Adherence,Date
Afghanistan,AFG,Asia,19101353833,0.02,Full,1/1/2010
Afghanistan,AFG,Asia,19101353833,0.02,No,8/15/2021
Albania,ALB,Europe,15278077447,0.02,Full,1/1/2010
Albania,ALB,Europe,15278077447,0.02,No,4/2/2025
Algeria,DZA,Africa,1.69988E+11,0.18,Partial,1/1/2010
Algeria,DZA,Africa,1.69988E+11,0.18,No,4/2/2025
Andorra,AND,Europe,3154057987,0,Partial,1/1/2010
Andorra,AND,Europe,3154057987,0,No,4/2/2025
Angola,AGO,Africa,94635415870,0.1,Full,1/1/2010
Angola,AGO,Africa,94635415870,0.1,No,4/2/2025
Antigua and Barbuda,ATG,N. America,1727759259,0,Full,1/1/2010
Antigua and Barbuda,ATG,N. America,1727759259,0,No,4/2/2025
Argentina,ARG,S. America,4.49663E+11,0.49,Full,1/1/2010
Argentina,ARG,S. America,4.49663E+11,0.49,No,4/2/2025
Armenia,ARM,Asia,13672802158,0.01,Full,1/1/2010
Armenia,ARM,Asia,13672802158,0.01,No,4/2/2025
Australia,AUS,Australia,1.39268E+12,1.51,Full,1/1/2010
Australia,AUS,Australia,1.39268E+12,1.51,No,4/2/2025
Austria,AUT,Europe,4.46315E+11,0.48,Full,1/1/2010
Austria,AUT,Europe,4.46315E+11,0.48,No,4/2/2025
Azerbaijan,AZE,Asia,39207000000,0.04,Partial,1/1/2010
Azerbaijan,AZE,Asia,39207000000,0.04,No,4/2/2025
The Bahamas,BHS,N. America,12827000000,0.01,Partial,1/1/2010
The Bahamas,BHS,N. America,12827000000,0.01,No,4/2/2025
Bahrain,BHR,Asia,38574069149,0.04,Full,1/1/2010
Bahrain,BHR,Asia,38574069149,0.04,No,4/2/2025
Bangladesh,BGD,Asia,3.02571E+11,0.33,Full,1/1/2010
Bangladesh,BGD,Asia,3.02571E+11,0.33,No,4/2/2025
Barbados,BRB,N. America,5209000000,0.01,Full,1/1/2010
Barbados,BRB,N. America,5209000000,0.01,No,4/2/2025
Belarus,BLR,Europe,63080457023,0.07,Partial,1/1/2010
Belarus,BLR,Europe,63080457023,0.07,No,4/2/2025
Belgium,BEL,Europe,5.29607E+11,0.57,Full,1/1/2010
Belgium,BEL,Europe,5.29607E+11,0.57,No,4/2/2025
Belize,BLZ,N. America,1879613600,0,Full,1/1/2010
Belize,BLZ,N. America,1879613600,0,No,4/2/2025
Benin,BEN,Africa,14390709095,0.02,Full,1/1/2010
Benin,BEN,Africa,14390709095,0.02,No,4/2/2025
Bhutan,BTN,Asia,2446674101,0,Partial,1/1/2010
Bhutan,BTN,Asia,2446674101,0,No,4/2/2025
Bolivia,BOL,S. America,40895322865,0.04,Full,1/1/2010
Bolivia,BOL,S. America,40895322865,0.04,No,4/2/2025
Bosnia and Herzegovina,BIH,Europe,20047848435,0.02,Partial,1/1/2010
Bosnia and Herzegovina,BIH,Europe,20047848435,0.02,No,4/2/2025
Botswana,BWA,Africa,18340510789,0.02,Full,1/1/2010
Botswana,BWA,Africa,18340510789,0.02,No,4/2/2025
Brazil,BRA,S. America,1.83976E+12,2,Full,1/1/2010
Brazil,BRA,S. America,1.83976E+12,2,No,4/2/2025
Brunei,BRN,Asia,13469422941,0.01,Full,1/1/2010
Brunei,BRN,Asia,13469422941,0.01,No,4/2/2025
Bulgaria,BGR,Europe,86000000000,0.09,Full,1/1/2010
Bulgaria,BGR,Europe,86000000000,0.09,No,4/2/2025
Burkina Faso,BFA,Africa,15745810235,0.02,Full,1/1/2010
Burkina Faso,BFA,Africa,15745810235,0.02,No,4/2/2025
Burundi,BDI,Africa,3012334882,0,Full,1/1/2010
Burundi,BDI,Africa,3012334882,0,No,4/2/2025
Cape Verde,CPV,Africa,1981845741,0,Full,1/1/2010
Cape Verde,CPV,Africa,1981845741,0,No,4/2/2025
Cambodia,KHM,Asia,27089389787,0.03,Full,1/1/2010
Cambodia,KHM,Asia,27089389787,0.03,No,4/2/2025
Cameroon,CMR,Africa,38760467033,0.04,Full,1/1/2010
Cameroon,CMR,Africa,38760467033,0.04,No,4/2/2025
Canada,CAN,N. America,1.73643E+12,1.88,Full,1/1/2010
Canada,CAN,N. America,1.73643E+12,1.88,No,4/2/2025
Central African Republic,CAF,Africa,2220307369,0,Full,1/1/2010
Central African Republic,CAF,Africa,2220307369,0,No,4/2/2025
Chad,TCD,Africa,11314951343,0.01,Full,1/1/2010
Chad,TCD,Africa,11314951343,0.01,No,4/2/2025
Chile,CHL,S. America,2.82318E+11,0.31,Full,1/1/2010
Chile,CHL,S. America,2.82318E+11,0.31,No,4/2/2025
China,CHN,Asia,19910000000000.00,21.61,Full,1/1/2010
China,CHN,Asia,19910000000000.00,21.61,Partial,1/22/2018
China,CHN,Asia,19910000000000.00,21.61,No,4/2/2025
Colombia,COL,S. America,3.23803E+11,0.35,Full,1/1/2010
Colombia,COL,S. America,3.23803E+11,0.35,No,4/2/2025
Comoros,COM,Africa,1185728677,0,Partial,1/1/2010
Comoros,COM,Africa,1185728677,0,Full,8/21/2024
Comoros,COM,Africa,1185728677,0,No,4/2/2025
Republic of the Congo,COG,Africa,10820591131,0.01,Full,1/1/2010
Republic of the Congo,COG,Africa,10820591131,0.01,No,4/2/2025
Costa Rica,CRI,N. America,61773944174,0.07,Full,1/1/2010
Costa Rica,CRI,N. America,61773944174,0.07,No,4/2/2025
Ivory Coast,CIV,Africa,58792205642,0.06,Full,1/1/2010
Ivory Coast,CIV,Africa,58792205642,0.06,No,4/2/2025
Croatia,HRV,Europe,60415553039,0.07,Full,1/1/2010
Croatia,HRV,Europe,60415553039,0.07,No,4/2/2025
Cuba,CUB,N. America,1.00023E+11,0.11,No,1/1/2010
Cyprus,CYP,Asia,24564647935,0.03,Full,1/1/2010
