Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,12.079,13.052,12.47,12.936,13.404,11.525,12.003,13.209,15.337,15.582,15.271,18.086,19.185,23.388,27.259
Australia,1254.623,1515.507,1570.139,1519.9,1456.939,1233.921,1262.655,1381.11,1417.162,1386.277,1362.613,1655.843,1725.461,1742.461,1796.805
Austria,390.146,428.879,407.008,426.587,438.669,379.584,393.579,414.78,452.787,443.033,434.05,480.786,472.339,512.509,521.269
Belgium,481.949,527.106,498.731,524.106,538.127,461.091,474.141,500.733,542.885,536.787,529.269,598.892,593.906,644.968,664.965
Bulgaria,50.69,57.682,54.297,55.82,57.081,50.766,53.929,59.288,66.318,68.639,70.658,84.477,90.719,102.434,112.232
Canada,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2022.382,2190.411,2173.34,2241.253
Croatia,59.032,62.889,57.585,59.854,59.628,51.012,52.64,56.166,61.694,61.472,57.919,69.055,71.26,84.416,92.506
Czech Republic,211.169,231.429,210.363,213.024,210.911,189.108,198.161,221.564,251.992,256.794,251.11,290.973,301.831,343.207,344.931
Denmark,322.346,344.316,326.793,344.631,352.833,301.759,312.182,331.611,355.293,345.402,355.631,408.378,401.946,407.092,429.458
Estonia,19.569,23.3,23.252,25.451,27.063,23.314,24.554,27.46,31.237,31.877,31.795,37.229,38.406,41.303,42.752
Finland,249.633,275.079,257.606,270.272,273.549,233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.474,295.036,298.833
France,2648.391,2869.903,2684.706,2816.119,2861.973,2442.731,2469.726,2587.955,2782.838,2723.094,2645.806,2968.405,2797.049,3056.88,3162.023
Germany,3470.987,3824.155,3600.175,3808.142,3966.823,3423.915,3536.808,3761.764,4053.846,3957.645,3936.989,4351.188,4166.872,4527.009,4658.526
Greece,296.66,283.178,238.992,236.56,233.972,194.587,193.044,200.31,213.396,207.329,191.21,218.449,219.053,243.569,257.067
Hungary,131.899,141.713,128.47,135.646,141.129,125.244,128.984,143.335,161.185,164.927,158.468,183.283,178.321,214.098,223.06
Iceland,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.261,24.681,21.63,25.77,28.696,31.452,33.463
Italy,2146.687,2306.568,2099.259,2153.259,2173.815,1845.615,1886.59,1970.027,2100.387,2019.831,1905.956,2180.656,2105.722,2305.271,2372.059
Japan,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5054.069,5039.148,4262.146,4213.167,4026.211
"Korea, Republic of",1192.722,1307.239,1335.344,1434.67,1556.252,1539.212,1578.816,1710.197,1824.251,1751.046,1744.456,1942.314,1799.363,1839.058,1869.714
Latvia,23.509,26.832,27.136,29.157,30.285,26.347,27.11,29.381,33.263,33.103,33.353,38.209,38.045,42.584,43.508
Lithuania,36.693,43.201,42.736,46.321,48.388,41.548,42.952,47.745,54.294,55.132,57.352,67.068,71.082,79.824,84.847
Luxembourg,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.118,69.88,73.612,86.444,80.865,87.599,93.169
Montenegro,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.777,5.865,6.243,7.532,8.023
Netherlands,853.161,912.98,846.225,883.964,901.789,775.822,796.944,847.934,930.155,929.006,931.814,1055.173,1047.364,1154.694,1227.174
New Zealand,145.736,167.167,175.361,187.292,200.305,176.455,186.081,203.819,209.747,210.995,210.541,249.775,245.203,253.436,257.728
North Macedonia ,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,14.008,13.957,15.772,16.679
Norway,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,503.368,596.298,482.95,483.727
Philippines,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.055,461.617
Poland,478.111,527.848,498.149,518.18,542.266,479.729,472.883,528.497,594.641,602.592,605.93,689.253,695.734,809.706,908.583
Portugal,238.639,245.383,216.674,226.681,230.138,199.059,206.249,220.785,242.203,240.142,229.435,256.226,257.101,289.781,308.59
Romania,170.329,192.846,179.228,189.839,199.989,177.878,185.337,210.53,243.651,251.652,252.372,286.783,296.928,350.847,384.148
Slovakia,91.187,99.688,94.784,99.136,101.739,89.188,90.322,95.944,106.66,105.855,107.646,120.672,116.02,132.947,140.636
Slovenia,47.832,51.19,46.196,47.868,49.527,42.714,44.279,48.136,53.713,53.916,53.342,61.57,59.975,69.168,72.463
Spain,1429.155,1487.307,1331.838,1362.207,1380.6,1206.287,1242.673,1321.288,1432.292,1403.651,1288.751,1462.216,1447.636,1620.558,1722.227
Sweden,492.753,570.541,549.742,584.128,577.73,501.698,514.218,536.084,551.312,532.169,545.148,637.187,579.896,585.49,610.118
Turkey,777.443,837.924,877.681,958.088,939.924,867.054,869.204,859.02,797.707,760.388,717.114,807.893,905.8,1130.062,1322.405
United Kingdom,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636
