Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,0.011943,0.011933,0.011184,0.010024,0.009899,0.011527,0.011642,0.013519,0.013177,0.012845,0.013940,0.012542,0.011671,0.012532,0.013130
Australia,0.018526,0.017553,0.016703,0.016382,0.017724,0.019523,0.020896,0.020051,0.018956,0.018800,0.020074,0.019785,0.018833,0.018616,0.018838
Austria,0.012099,0.011623,0.011164,0.010439,0.009981,0.009880,0.010355,0.010520,0.011054,0.012933,0.013400,0.011648,0.011709,0.012206,0.011940
Belgium,0.009490,0.009748,0.009568,0.009405,0.009578,0.009473,0.009295,0.009132,0.009625,0.009922,0.010168,0.010638,0.010099,0.011395,0.013714
Bulgaria,0.023612,0.023711,0.023921,0.023913,0.024133,0.023764,0.023358,0.022981,0.023615,0.025193,0.026430,0.026190,0.025764,0.025993,0.025621
Canada,0.011701,0.011534,0.011067,0.011895,0.010431,0.010885,0.010456,0.011680,0.011842,0.011313,0.012972,0.014068,0.013163,0.011763,0.013243
Croatia,0.015586,0.015283,0.014871,0.014090,0.013465,0.011623,0.011036,0.011092,0.011605,0.012808,0.012958,0.012430,0.012088,0.017407,0.020379
Czech Republic,0.016425,0.013140,0.013298,0.014540,0.013096,0.012459,0.012438,0.012222,0.014511,0.031450,0.015856,0.015107,0.015871,0.019446,0.021495
Denmark,0.016662,0.017366,0.016559,0.016078,0.018081,0.017487,0.015892,0.016332,0.015423,0.016036,0.016966,0.019715,0.018029,0.017066,0.017932
Estonia,0.011829,0.010691,0.010556,0.010087,0.009591,0.009412,0.009866,0.009440,0.010755,0.011332,0.012954,0.013533,0.013269,0.014718,0.019168
Finland,0.017003,0.016725,0.018798,0.018838,0.018954,0.019894,0.020280,0.019699,0.019706,0.019985,0.022614,0.020123,0.021349,0.029957,0.033740
France,0.010241,0.010388,0.010292,0.009437,0.008572,0.009042,0.009991,0.011917,0.010022,0.013278,0.017463,0.013152,0.018331,0.020495,0.021563
Germany,0.011061,0.011074,0.009429,0.009728,0.009780,0.010735,0.015017,0.016528,0.021347,0.020902,0.022276,0.021558,0.022546,0.029702,0.032580
Greece,0.008904,0.007971,0.007692,0.007665,0.008837,0.011349,0.014801,0.017121,0.019479,0.019842,0.020492,0.019496,0.024446,0.027130,0.031182
